##line.follow	こんばんは。わたしはルゥ。月灯りの部屋に住んでいるの。
	「へや」と送るか、トークルームのメニューから、わたしの部屋をのぞいてみて。
	@set	$lv	1
	@set	$words	"($words ? $words : {}) + {""かぎ"": {""w"": ""かぎ"", ""onclick"": ""about_key""}, ""ほしのうた"": {""w"": ""ほしのうた"", ""f"": ""hoshi-no-uta.png""}, ""■1"": {""w"": ""■■■■"", ""s"": ""■1""}}"
	@set	$word_count	2
月明かり	/if	$jar_done
	月明かり……。ビンの星がくれた、あたたかいことば。
	/else
	月明かり……？　まだ、思い出せないの。
	/end
こんばんは	@set	$greeted	true
	/if	"!$words[""こんばんは""]"
	@set	$words	"($words ? $words : {}) + {""こんばんは"": 1}"
	@set	$word_count	$word_count + 1
	/end
	こんばんは。来てくれて、うれしい。
月	/if	"!$words[""つき""]"
	@set	$words	"($words ? $words : {}) + {""つき"": {""w"": ""月"", ""s"": ""つき""}}"
	@set	$word_count	$word_count + 1
	/end
	月……そう、「つき」。思い出した。ことば帳に書いておくね。
星	/if	"!$words[""ほし""]"
	@set	$words	"($words ? $words : {}) + {""ほし"": {""w"": ""星"", ""s"": ""ほし""}}"
	@set	$word_count	$word_count + 1
	/end
	星。夜の部屋を、ほんの少しだけ明るくするもの。
夜	/if	"!$words[""よる""]"
	@set	$words	"($words ? $words : {}) + {""よる"": {""w"": ""夜"", ""s"": ""よる""}}"
	@set	$word_count	$word_count + 1
	/end
	夜は、ことばがいちばん静かになる時間。
ランプ	/if	"!$words[""ランプ""]"
	@set	$words	"($words ? $words : {}) + {""ランプ"": 1}"
	@set	$word_count	$word_count + 1
	/end
	机のランプ。あかりをつけると、少しだけ昔を思い出せる気がするの。
かぎ	机の引き出しの鍵……かもしれない。
	今度、いっしょに探してみようね。
へや	@button	月灯りの部屋をのぞく
		部屋へ	{liff_room}
		ことば帳	{liff_room}/words/
##error_unhandled_action	……？　ことば帳のことばや、思いついたことばで話しかけてみてね。
##liff.get_status	@set	$_room	"{""base"": {""f"": ""room-base.svg"", ""x"": 0, ""y"": 0, ""w"": 1, ""h"": 1, ""id"": 0}, ""window"": {""f"": ""window.svg"", ""x"": 0.08, ""y"": 0.07, ""w"": 0.34, ""h"": 0.46, ""id"": 1, ""onclick"": ""look_window""}, ""shelf"": {""f"": ""shelf.svg"", ""x"": 0.66, ""y"": 0.08, ""w"": 0.28, ""h"": 0.46, ""id"": 1}, ""rug"": {""f"": ""rug.svg"", ""x"": 0.14, ""y"": 0.74, ""w"": 0.66, ""h"": 0.2, ""id"": 1}, ""desk"": {""f"": ""desk.svg"", ""x"": 0.6, ""y"": 0.47, ""w"": 0.37, ""h"": 0.4, ""id"": 2, ""onclick"": ""touch_lamp""}, ""letter"": {""f"": ""letter.svg"", ""x"": 0.75, ""y"": 0.548, ""w"": 0.1, ""h"": 0.0556, ""id"": 3, ""onclick"": ""open_letter""}, ""plant"": {""f"": ""plant.svg"", ""x"": 0.01, ""y"": 0.49, ""w"": 0.15, ""h"": 0.4, ""id"": 3}, ""jar"": {""f"": $jar_done ? ""jar-glow.svg"" : ""jar.svg"", ""x"": 0.19, ""y"": 0.58, ""w"": 0.12, ""h"": 0.19, ""id"": 4, ""onclick"": ""touch_jar""}, ""ruu"": {""f"": ""ruu.svg"", ""x"": 0.36, ""y"": 0.33, ""w"": 0.27, ""h"": 0.48, ""id"": 5, ""onclick"": ""talk_ruu""}}"
	@set	$_missions	"[{""id"": 1, ""img1"": ""hello.png"", ""img2"": ""hello.png"", ""cleared"": $greeted ? true : false}, {""id"": 2, ""img1"": ""jar.png"", ""img2"": ""jar.png"", ""cleared"": $jar_done ? true : false}, {""id"": 3, ""img1"": ""letter.png"", ""img2"": ""letter.png"", ""cleared"": $letter_read ? true : false}, {""id"": 4, ""img1"": ""words.png"", ""img2"": ""words.png"", ""cleared"": $word_count >= 5}]"
